Αυτοκίνητα,Αριθμός αυ/του,Χιλιόμετρα,Ημερομηνία(ΤΠΣ),Ημερομηνία ΑΕΚΟ,3μηναια,5κ χλμ,2χρονια λαδια,2χρονια βαλβ,Συνολικά Χιλιόμετρα,Χλμ τον Μηνα
Ford Transit,677700,90817,08-06-2025,07-02-2025,06-09-2025,95754.0,07-02-2027,07-02-2027,0,63.0
Ford Transit,123456,20744,,,,25744.0,,,0,
M/S 290 GD,270007,17700,,,,22700.0,,,0,

