Car,Number,KM,Date,AEKO Date,3month,5k km,2y oil,2y valve,Total KM,Month KM
Ford Transit,173861,90817,08-06-2025,07-02-2025,06-09-2025,95754.0,07-02-2027,07-02-2027,0,63.0
Magirus,219670,113153,,,,,,,0,
m/s 290 gd,218555,68755,,,,,,,0,
m/s 240 gd,204151,102984,,,,,,,0,
Magirus,216627,89801,,,,,,,0,
Ford Transit,173827,20744,,,,25744.0,,,0,
rea,12312,76111,21-11-2024,,19-02-2025,81111.0,21-11-2026,21-11-2026,0,
M/S 290 GD,218555,17700,,,,22700.0,,,0,
reareaar,2,3,11-09-2021,11-09-2021,10-12-2021,5003.0,11-09-2023,11-09-2023,0,
